GF DoITT Submitted to CB (A),Site ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,DoITT: DoITT NTP Issued (A),GF CB Comment Period Ends (A),DoITT: GF DoITT Submitted to CB (A),BIN,BBL,Census Tract,Location 1,Legacy ID,Site Type,Initial Submission (A),Final Submission (A)
09/21/2018,qu-07-GF44223,40.76462,-73.81119,Queens,C2-2,20,407,153-18 NORTHERN BOULEVARD,153 STREET,154 STREET,SW,11354,,No,0,Murray Hill,82607,,11/20/2018,09/12/2018,4438171,4052660019,4115500,"(40.76462392, -73.81118914)",LINK-020981,New Site,02/05/2018,
09/21/2018,qu-07-GF44222,40.76478,-73.81205,Queens,C2-2,20,407,153-02 NORTHERN BOULEVARD,153 STREET,154 STREET,MIDBLOCK,11354,,No,0,Murray Hill,82606,,11/20/2018,09/12/2018,4119194,4052660011,4115500,"(40.76477779, -73.81204552)",LINK-020980,New Site,02/05/2018,
07/19/2017,qu-03-GF44182,40.75603,-73.87888,Queens,C1-2,25,403,88-16 NORTHERN BOULEVARD,NORTHERN BOULEVARD,34 AVENUE,,11372,,No,0,Jackson Heights,81999,,09/17/2017,07/19/2017,4437127,4014360006,4027700,"(40.756031, -73.878884)",LINK-020940,New Site,06/21/2017,
09/21/2018,qu-07-GF44224,40.76342,-73.80742,Queens,C1-2,20,407,157-26 NORTHERN BOULEVARD,157 STREET,158 STREET,SW,11354,,No,0,Murray Hill,82608,,11/20/2018,09/12/2018,4119353,4052760024,4117100,"(40.7634158, -73.80741661)",LINK-020982,New Site,02/05/2018,
08/14/2017,BX-02-GF22164,40.81163,-73.90327,Bronx,C8-3,8,202,869 EAST 149 STREET,EAST 149 STREET,AVENUE ST JOHN,NE,10455,,No,0,Longwood,82115,,10/13/2017,08/11/2017,2096003,2026030051,2008300,"(40.81163401, -73.90326596)",LINK-020593,New Site,07/28/2017,
08/31/2017,BX-01-GF22172,40.80496,-73.91484,Bronx,M1-2,8,201,673 EAST 137 STREET,CYPRESS AVENUE,,NE,10454,,No,0,Mott Haven-Port Morris,82124,,10/30/2017,08/22/2017,2003798,2025660039,2002702,"(40.80496463, -73.91484156)",LINK-020601,New Site,07/28/2017,
08/31/2017,BX-01-GF22176,40.81311,-73.92598,Bronx,M1-4/R7A,8,201,339 MORRIS AVENUE,MORRIS AVENUE,RIDER AVENUE,NW,10451,,No,0,Mott Haven-Port Morris,82121,,10/30/2017,08/22/2017,2000957,2023330070,2005100,"(40.81311299, -73.92597821)",LINK-020605,New Site,07/28/2017,
08/31/2017,BX-01-GF22173,40.80423,-73.91523,Bronx,M1-2,8,201,190 CYPRESS AVENUE,CYPRESS AVENUE,BRUCKNER BOULEVARD,NE,10454,,No,0,Mott Haven-Port Morris,82083,,10/30/2017,08/22/2017,2000000,2025650028,2002701,"(40.80423313, -73.91523055)",LINK-020602,New Site,07/28/2017,
12/01/2017,qu-01-GF44205,40.77330,-73.90651,Queens,C2-3,22,401,38-01 DITMARS BOULEVARD,38 STREET,STEINWAY STREET,SE,11105,,No,0,Steinway,82437,,01/30/2018,11/29/2017,4015824,4008050032,4012100,"(40.7732961247542, -73.90651488984741)",LINK-020963,New Site,10/19/2017,
12/01/2017,qu-01-GF44165,40.75249,-73.93243,Queens,M1-3/R7X,26,401,32-03 39 AVENUE,31 STREET,32 STREET,NW,11101,,No,0,Queensbridge-Ravenswood-Long Island City,82386,,01/30/2018,11/29/2017,4541847,4003820029,4003100,"(40.75249046, -73.9324322)",LINK-020923,New Site,10/06/2017,
07/19/2017,qu-03-GF44167,40.75530,-73.88889,Queens,C8-1,25,403,78-15 NORTHERN BOULEVARD,78 STREET,79 STREET,,11370,,No,0,Jackson Heights,81988,,09/17/2017,07/19/2017,4026787,4011740035,4030903,"(40.755296, -73.888892)",LINK-020925,New Site,06/21/2017,
09/15/2017,qu-03-GF44134,40.75428,-73.89665,Queens,C2-2,25,403,69-02 NORTHERN BOULEVARD,70 STREET,69 STREET,SW,11377,,No,0,Jackson Heights,82169,,11/14/2017,09/13/2017,4028472,4012420001,4029100,"(40.75427503, -73.89665217)",LINK-020892,New Site,08/16/2017,
07/19/2017,qu-03-GF44136,40.75557,-73.88427,Queens,C1-2,25,403,83-02 NORTHERN BOULEVARD,83 STREET,84 STREET,,11372,,No,0,Jackson Heights,81986,,09/17/2017,07/19/2017,4035149,4014310001,4028100,"(40.755571, -73.884269)",LINK-020894,New Site,06/21/2017,
02/02/2018,mn-07-GF0088,40.77957,-73.97736,Manhattan,C1-8A,6,107,322 COLUMBUS AVENUE,WEST 76 STREET,WEST 75 STREET,NW,10023,Columbus Avenue,Yes,1,Upper West Side,82363,,04/03/2018,01/23/2018,1030136,1011470030,1016100,"(40.77956501, -73.97735812)",LINK-020425,New Site,09/28/2017,
02/16/2018,mn-12-GF0058,40.84164,-73.93911,Manhattan,C2-4,10,112,565 WEST 169 STREET,BROADWAY,AUDUBON AVENUE,NE,10032,,No,0,Washington Heights South,82418,,04/17/2018,12/06/2017,1063014,1021260001,1025300,"(40.84164226, -73.93911127)",LINK-020296,New Site,09/28/2017,
12/15/2017,mn-01-GF0126,40.71485,-74.00131,Manhattan,C6-4,1,101,141 WORTH STREET,CENTRE STREET,BAXTER STREET,,10013,Chinatown,Yes,1,Chinatown,82054,,02/13/2018,12/06/2017,1001830,1001660027,1002900,"(40.71484559, -74.00131165)",LINK-020463,New Site,07/05/2017,
12/15/2017,mn-02-GF0093,40.73721,-74.00139,Manhattan,C2-7,3,102,76 GREENWICH AVENUE,BANK STREET,WEST 12 STREET,SW,10011,,No,1,West Village,82412,,02/13/2018,12/06/2017,1010988,1006170001,1007700,"(40.73721099, -74.00139398)",LINK-020430,New Site,10/11/2017,
