Census Tract,FIPS Code,Formatted FIPS,% of households w/o broadband
"36085009601, NY",36085009601,36085009601,27.51
"36081136700, NY",36081136700,36081136700,26.92
"36081068000, NY",36081068000,36081068000,34
"36047005000, NY",36047005000,36047005000,10.62
"36081037600, NY",36081037600,36081037600,34.87
"36061000900, NY",36061000900,36061000900,10.69
"36081033402, NY",36081033402,36081033402,35.96
"36081137700, NY",36081137700,36081137700,21.39
"36047110400, NY",36047110400,36047110400,34.59
"36085012100, NY",36085012100,36085012100,21.02
"36005029600, NY",36005029600,36005029600,20.09
"36081084602, NY",36081084602,36081084602,7.37
"36081157902, NY",36081157902,36081157902,17.42
"36047011900, NY",36047011900,36047011900,18.99
"36085017011, NY",36085017011,36085017011,20.05
"36061031703, NY",36061031703,36061031703,5.18
"36081061301, NY",36081061301,36081061301,29.25
"36005009600, NY",36005009600,36005009600,41.25
"36081060701, NY",36081060701,36081060701,0
"36085030301, NY",36085030301,36085030301,17.93
"36081162100, NY",36081162100,36081162100,20.73
"36081103202, NY",36081103202,36081103202,30.01
"36085006400, NY",36085006400,36085006400,26.02
"36005027401, NY",36005027401,36005027401,22.2
"36081161700, NY",36081161700,36081161700,19.32
"36061003700, NY",36061003700,36061003700,12.46
"36081122701, NY",36081122701,36081122701,29.92
"36005048400, NY",36005048400,36005048400,18.48
"36081130100, NY",36081130100,36081130100,28.09
"36081129104, NY",36081129104,36081129104,12.09
"36081065400, NY",36081065400,36081065400,20.71
"36061015200, NY",36061015200,36061015200,29.6
"36005033500, NY",36005033500,36005033500,19.46
"36061031704, NY",36061031704,36061031704,10.72
"36081133300, NY",36081133300,36081133300,12.05
"36081031700, NY",36081031700,36081031700,20.31
"36081120700, NY",36081120700,36081120700,20.94
"36081063700, NY",36081063700,36081063700,29.09
"36081063800, NY",36081063800,36081063800,20.66
"36081097300, NY",36081097300,36081097300,24.82
"36081157903, NY",36081157903,36081157903,21.81
"36081099704, NY",36081099704,36081099704,19.55
"36047030800, NY",36047030800,36047030800,28.95
"36085014607, NY",36085014607,36085014607,24.41
"36047034800, NY",36047034800,36047034800,25.29
"36081038301, NY",36081038301,36081038301,N/A
"36081021600, NY",36081021600,36081021600,23.87
"36061024700, NY",36061024700,36061024700,36.86
"36081101002, NY",36081101002,36081101002,45.83
"36061021100, NY",36061021100,36061021100,28.56
"36061020500, NY",36061020500,36061020500,26.94
"36005035800, NY",36005035800,36005035800,29.69
"36061002400, NY",36061002400,36061002400,63.07
"36081047800, NY",36081047800,36081047800,43.23
"36081105900, NY",36081105900,36081105900,19.72
"36081099703, NY",36081099703,36081099703,16.9
"36081099900, NY",36081099900,36081099900,N/A
"36081025400, NY",36081025400,36081025400,52.66
"36005031000, NY",36005031000,36005031000,20.97
"36061015100, NY",36061015100,36061015100,34.28
"36081121500, NY",36081121500,36081121500,24.09
"36085020100, NY",36085020100,36085020100,22.08
"36081088901, NY",36081088901,36081088901,31.27
"36047069800, NY",36047069800,36047069800,17.99
"36061016300, NY",36061016300,36061016300,17.62
"36081014202, NY",36081014202,36081014202,24.54
"36085009602, NY",36085009602,36085009602,20.98
"36081103300, NY",36081103300,36081103300,21.24
"36061008601, NY",36061008601,36061008601,10.31
"36081035200, NY",36081035200,36081035200,43.98
"36081053900, NY",36081053900,36081053900,27.45
"36081086900, NY",36081086900,36081086900,43
"36081058000, NY",36081058000,36081058000,22.37
"36081005800, NY",36081005800,36081005800,23.36
"36081020500, NY",36081020500,36081020500,44.44
"36081012301, NY",36081012301,36081012301,20.14
"36085023100, NY",36085023100,36085023100,33.56
"36081134100, NY",36081134100,36081134100,12.64
"36005016300, NY",36005016300,36005016300,N/A
"36085003900, NY",36085003900,36085003900,25.05
"36047048500, NY",36047048500,36047048500,18.76
"36085011402, NY",36085011402,36085011402,20.7
"36081035700, NY",36081035700,36081035700,35.17
"36005030200, NY",36005030200,36005030200,35.36
"36081065600, NY",36081065600,36081065600,17.02
"36081094201, NY",36081094201,36081094201,22.88
"36081084000, NY",36081084000,36081084000,25.54
"36081077902, NY",36081077902,36081077902,19.93
"36005035100, NY",36005035100,36005035100,23.96
"36047005202, NY",36047005202,36047005202,16.78
"36081058200, NY",36081058200,36081058200,16.11
"36081117500, NY",36081117500,36081117500,30.7
"36081033401, NY",36081033401,36081033401,40.45
"36005032300, NY",36005032300,36005032300,23.05
"36061023802, NY",36061023802,36061023802,13.95
"36081140902, NY",36081140902,36081140902,13.97
"36061023700, NY",36061023700,36061023700,26.77
"36081000700, NY",36081000700,36081000700,13.77
"36081047600, NY",36081047600,36081047600,9.87
"36081024300, NY",36081024300,36081024300,25.17
"36081054200, NY",36081054200,36081054200,28.81
"36081142900, NY",36081142900,36081142900,23.7
"36081069400, NY",36081069400,36081069400,23.98
"36081020800, NY",36081020800,36081020800,16.34
"36085027705, NY",36085027705,36085027705,21.69
"36081042600, NY",36081042600,36081042600,N/A
"36085023900, NY",36085023900,36085023900,30
"36085027704, NY",36085027704,36085027704,18.14
"36005041400, NY",36005041400,36005041400,41.47
"36085002900, NY",36085002900,36085002900,41.68
"36081066300, NY",36081066300,36081066300,22.2
"36085011401, NY",36085011401,36085011401,48.9
"36005039700, NY",36005039700,36005039700,54.94
"36081029700, NY",36081029700,36081029700,23.56
"36047061002, NY",36047061002,36047061002,25.44
"36081054000, NY",36081054000,36081054000,15.27
"36081053500, NY",36081053500,36081053500,45.11
"36081035800, NY",36081035800,36081035800,45.18
"36047060800, NY",36047060800,36047060800,20.97
"36005009800, NY",36005009800,36005009800,16.97
"36081042400, NY",36081042400,36081042400,28.21
"36081047200, NY",36081047200,36081047200,26.83
"36081062400, NY",36081062400,36081062400,N/A
"36061023300, NY",36061023300,36061023300,28.16
"36005042600, NY",36005042600,36005042600,19.68
"36047002100, NY",36047002100,36047002100,5.17
"36081003300, NY",36081003300,36081003300,13.07
"36047107800, NY",36047107800,36047107800,32.15
