"Census Tract","FIPS Code","Formatted FIPS","Estimated percent of households without broadband internet such "
"36061025100, NY","36061025100","=""36061025100""","44.08"
"36061029300, NY","36061029300","=""36061029300""","49.24"
"36061026300, NY","36061026300","=""36061026300""","37.21"
"36061030300, NY","36061030300","=""36061030300""","22.25"
"36061022302, NY","36061022302","=""36061022302""","29.95"
"36061026100, NY","36061026100","=""36061026100""","47.72"
"36061016100, NY","36061016100","=""36061016100""","19.34"
"36061021303, NY","36061021303","=""36061021303""","29.23"
"36061022600, NY","36061022600","=""36061022600""","41.45"
"36061009400, NY","36061009400","=""36061009400""","10.53"
"36061022700, NY","36061022700","=""36061022700""","29.76"
"36061004300, NY","36061004300","=""36061004300""","18.57"
"36061020600, NY","36061020600","=""36061020600""","38.92"
"36061020800, NY","36061020800","=""36061020800""","40.81"
"36061018800, NY","36061018800","=""36061018800""","43.69"
"36061028300, NY","36061028300","=""36061028300""","28.08"
"36061025700, NY","36061025700","=""36061025700""","21.68"
"36061006100, NY","36061006100","=""36061006100""","13.85"
"36061018100, NY","36061018100","=""36061018100""","21.26"
"36061021400, NY","36061021400","=""36061021400""","23.58"
"36061029500, NY","36061029500","=""36061029500""","24.79"
"36061018500, NY","36061018500","=""36061018500""","21.11"
"36061020000, NY","36061020000","=""36061020000""","27.78"
"36061015801, NY","36061015801","=""36061015801""","16.14"
"36061016001, NY","36061016001","=""36061016001""","7.01"
"36061014802, NY","36061014802","=""36061014802""","15.93"
"36061015002, NY","36061015002","=""36061015002""","5.92"
"36061005501, NY","36061005501","=""36061005501""","14.84"
"36061003001, NY","36061003001","=""36061003001""","38.28"
"36061018600, NY","36061018600","=""36061018600""","37.28"
"36061028500, NY","36061028500","=""36061028500""","26.39"
"36061001200, NY","36061001200","=""36061001200""","51.89"
"36061005900, NY","36061005900","=""36061005900""","15.03"
"36061020901, NY","36061020901","=""36061020901""","57.76"
"36061005502, NY","36061005502","=""36061005502""","15.52"
"36061001402, NY","36061001402","=""36061001402""","45.66"
"36061014602, NY","36061014602","=""36061014602""","12.33"
"36061015602, NY","36061015602","=""36061015602""","21.61"
"36061023400, NY","36061023400","=""36061023400""","39.97"
"36061005700, NY","36061005700","=""36061005700""","10.53"
"36061002601, NY","36061002601","=""36061002601""","42.87"
"36061024301, NY","36061024301","=""36061024301""","34.02"
"36061004500, NY","36061004500","=""36061004500""","10.23"
"36061019000, NY","36061019000","=""36061019000""","30.69"
"36061002602, NY","36061002602","=""36061002602""","33.83"
"36061017401, NY","36061017401","=""36061017401""","42.95"
"36061003601, NY","36061003601","=""36061003601""","38.99"
"36061022102, NY","36061022102","=""36061022102""","25.25"
"36061011402, NY","36061011402","=""36061011402""","17.97"
"36061011401, NY","36061011401","=""36061011401""","20.80"
"36061001401, NY","36061001401","=""36061001401""","29.68"
"36061028100, NY","36061028100","=""36061028100""","15.47"
"36061003602, NY","36061003602","=""36061003602""","18.73"
"36061004200, NY","36061004200","=""36061004200""","15.93"
"36061030700, NY","36061030700","=""36061030700""","35.07"
"36061020102, NY","36061020102","=""36061020102""","24.71"
"36061011201, NY","36061011201","=""36061011201""","13.82"
"36061000100, NY","36061000100","=""36061000100""","N/A"
"36061003002, NY","36061003002","=""36061003002""","51.02"
"36061011202, NY","36061011202","=""36061011202""","8.02"
"36061011203, NY","36061011203","=""36061011203""","16.84"
"36061025900, NY","36061025900","=""36061025900""","22.32"
"36061014601, NY","36061014601","=""36061014601""","11.18"
"36061014401, NY","36061014401","=""36061014401""","18.34"
"36061015601, NY","36061015601","=""36061015601""","20.34"
"36061021500, NY","36061021500","=""36061021500""","34.07"
"36061014700, NY","36061014700","=""36061014700""","10.74"
"36061023900, NY","36061023900","=""36061023900""","39.62"
"36061024900, NY","36061024900","=""36061024900""","35.45"
"36061002700, NY","36061002700","=""36061002700""","43.10"
"36061002202, NY","36061002202","=""36061002202""","46.37"
"36061020101, NY","36061020101","=""36061020101""","30.11"
"36061014801, NY","36061014801","=""36061014801""","11.59"
"36061015001, NY","36061015001","=""36061015001""","11.20"
"36061015802, NY","36061015802","=""36061015802""","11.74"
"36061016002, NY","36061016002","=""36061016002""","15.48"
"36061017402, NY","36061017402","=""36061017402""","44.06"
"36061019702, NY","36061019702","=""36061019702""","38.26"
"36061020701, NY","36061020701","=""36061020701""","28.24"
"36061026700, NY","36061026700","=""36061026700""","24.26"
"36061023502, NY","36061023502","=""36061023502""","44.09"

"Location: New York (County, 2010)"

"Census Tract Boundary Year: 2010"

"Indicator source: Census"
"http://www.policymap.com/our-data-directory.html#Census:%20Decennial%20Census%20and%20American%20Community%20Survey%20(ACS)"

"When using PolicyMap data in your work, please consult the Terms of Use and the instructions for Citing Us:"
"https://www.policymap.com/terms/"
"https://www.policymap.com/citing/"
