Census Tract,FIPS Code,Formatted FIPS,Estimated number of households without broadband internet such a
"36081061301, NY",36081061301,36081061301,581
"36005009600, NY",36005009600,36005009600,316
"36081060701, NY",36081060701,36081060701,0
"36085030301, NY",36085030301,36085030301,322
"36081162100, NY",36081162100,36081162100,397
"36081103202, NY",36081103202,36081103202,563
"36085006400, NY",36085006400,36085006400,312
"36005027401, NY",36005027401,36005027401,377
"36081161700, NY",36081161700,36081161700,295
"36061003700, NY",36061003700,36061003700,176
"36081122701, NY",36081122701,36081122701,1309
"36005048400, NY",36005048400,36005048400,228
"36081130100, NY",36081130100,36081130100,418
"36081129104, NY",36081129104,36081129104,228
"36081065400, NY",36081065400,36081065400,182
"36061015200, NY",36061015200,36061015200,1142
"36005033500, NY",36005033500,36005033500,136
"36061031704, NY",36061031704,36061031704,528
"36081133300, NY",36081133300,36081133300,152
"36081031700, NY",36081031700,36081031700,494
"36081120700, NY",36081120700,36081120700,187
"36081063700, NY",36081063700,36081063700,331
"36081063800, NY",36081063800,36081063800,218
"36081097300, NY",36081097300,36081097300,169
"36081157903, NY",36081157903,36081157903,277
"36081099704, NY",36081099704,36081099704,679
"36047030800, NY",36047030800,36047030800,216
"36085014607, NY",36085014607,36085014607,415
"36047034800, NY",36047034800,36047034800,198
"36081038301, NY",36081038301,36081038301,0
"36081021600, NY",36081021600,36081021600,438
"36061024700, NY",36061024700,36061024700,941
"36081101002, NY",36081101002,36081101002,726
"36061021100, NY",36061021100,36061021100,1177
"36061020500, NY",36061020500,36061020500,309
"36005035800, NY",36005035800,36005035800,722
"36061002400, NY",36061002400,36061002400,1185
"36081047800, NY",36081047800,36081047800,945
"36081105900, NY",36081105900,36081105900,268
"36081099703, NY",36081099703,36081099703,299
"36081099900, NY",36081099900,36081099900,0
"36081025400, NY",36081025400,36081025400,1494
"36005031000, NY",36005031000,36005031000,259
"36061015100, NY",36061015100,36061015100,1484
"36081121500, NY",36081121500,36081121500,303
"36085020100, NY",36085020100,36085020100,287
"36081088901, NY",36081088901,36081088901,1307
"36047069800, NY",36047069800,36047069800,86
"36061016300, NY",36061016300,36061016300,659
"36081014202, NY",36081014202,36081014202,146
"36085009602, NY",36085009602,36085009602,273
"36081103300, NY",36081103300,36081103300,311
"36061008601, NY",36061008601,36061008601,135
"36081035200, NY",36081035200,36081035200,351
"36081053900, NY",36081053900,36081053900,372
"36081086900, NY",36081086900,36081086900,304
"36081058000, NY",36081058000,36081058000,242
"36081005800, NY",36081005800,36081005800,449
"36081020500, NY",36081020500,36081020500,180
"36081012301, NY",36081012301,36081012301,230
"36085023100, NY",36085023100,36085023100,453
"36081134100, NY",36081134100,36081134100,135
"36005016300, NY",36005016300,36005016300,0
"36085003900, NY",36085003900,36085003900,250
"36047048500, NY",36047048500,36047048500,175
"36085011402, NY",36085011402,36085011402,265
"36081035700, NY",36081035700,36081035700,414
"36005030200, NY",36005030200,36005030200,1493
"36081065600, NY",36081065600,36081065600,271
"36081094201, NY",36081094201,36081094201,292
"36081084000, NY",36081084000,36081084000,469
"36081077902, NY",36081077902,36081077902,320
"36005035100, NY",36005035100,36005035100,264
"36047005202, NY",36047005202,36047005202,237
"36081058200, NY",36081058200,36081058200,213
"36081117500, NY",36081117500,36081117500,586
"36081033401, NY",36081033401,36081033401,413
"36005032300, NY",36005032300,36005032300,557
"36061023802, NY",36061023802,36061023802,83
"36081140902, NY",36081140902,36081140902,126
"36061023700, NY",36061023700,36061023700,761
"36081000700, NY",36081000700,36081000700,395
"36081047600, NY",36081047600,36081047600,45
"36081024300, NY",36081024300,36081024300,447
"36081054200, NY",36081054200,36081054200,403
"36081142900, NY",36081142900,36081142900,265
"36081069400, NY",36081069400,36081069400,265
"36081020800, NY",36081020800,36081020800,109
"36085027705, NY",36085027705,36085027705,420
"36081042600, NY",36081042600,36081042600,0
"36085023900, NY",36085023900,36085023900,303
"36085027704, NY",36085027704,36085027704,279
"36005041400, NY",36005041400,36005041400,664
"36085002900, NY",36085002900,36085002900,767
"36081066300, NY",36081066300,36081066300,214
"36085011401, NY",36085011401,36085011401,622
"36005039700, NY",36005039700,36005039700,306
"36081029700, NY",36081029700,36081029700,156
"36047061002, NY",36047061002,36047061002,508
"36081054000, NY",36081054000,36081054000,184
"36081053500, NY",36081053500,36081053500,189
"36081035800, NY",36081035800,36081035800,562
"36047060800, NY",36047060800,36047060800,330
"36005009800, NY",36005009800,36005009800,295
"36081042400, NY",36081042400,36081042400,198
"36081047200, NY",36081047200,36081047200,359
"36081062400, NY",36081062400,36081062400,0
"36061023300, NY",36061023300,36061023300,710
"36005042600, NY",36005042600,36005042600,394
"36047002100, NY",36047002100,36047002100,103
"36081003300, NY",36081003300,36081003300,163
"36047107800, NY",36047107800,36047107800,588
"36047040700, NY",36047040700,36047040700,0
"36047069601, NY",36047069601,36047069601,432
"36081102900, NY",36081102900,36081102900,258
"36061024200, NY",36061024200,36061024200,802
"36081124100, NY",36081124100,36081124100,230
"36047111600, NY",36047111600,36047111600,190
"36047005602, NY",36047005602,36047005602,226
"36081122300, NY",36081122300,36081122300,356
"36061006900, NY",36061006900,36061006900,174
"36081083800, NY",36081083800,36081083800,342
"36005005100, NY",36005005100,36005005100,835
"36085002001, NY",36085002001,36085002001,145
"36047033000, NY",36047033000,36047033000,560
"36047099800, NY",36047099800,36047099800,201
"36005001600, NY",36005001600,36005001600,734
"36081061302, NY",36081061302,36081061302,0
"36005004200, NY",36005004200,36005004200,742
"36081049200, NY",36081049200,36081049200,634
"36085024700, NY",36085024700,36085024700,308
"36047120800, NY",36047120800,36047120800,1233
"36081124700, NY",36081124700,36081124700,226
"36085007500, NY",36085007500,36085007500,264
"36047058900, NY",36047058900,36047058900,234
"36081040400, NY",36081040400,36081040400,440
"36081049900, NY",36081049900,36081049900,400
"36081155101, NY",36081155101,36081155101,555
"36061017800, NY",36061017800,36061017800,592
"36061021900, NY",36061021900,36061021900,976
"36081041400, NY",36081041400,36081041400,633
"36081072300, NY",36081072300,36081072300,139
"36081017900, NY",36081017900,36081017900,88
"36085013201, NY",36085013201,36085013201,123
"36081087100, NY",36081087100,36081087100,416
"36081003700, NY",36081003700,36081003700,0
"36081099801, NY",36081099801,36081099801,557
"36085012500, NY",36085012500,36085012500,345
"36081129103, NY",36081129103,36081129103,330
"36081108500, NY",36081108500,36081108500,225
"36081122702, NY",36081122702,36081122702,1087
"36061007500, NY",36061007500,36061007500,543
"36061000700, NY",36061000700,36061000700,445
"36061001002, NY",36061001002,36061001002,1867
"36081114100, NY",36081114100,36081114100,160
"36005018400, NY",36005018400,36005018400,434
"36085014608, NY",36085014608,36085014608,126
"36081008800, NY",36081008800,36081008800,185
"36005002800, NY",36005002800,36005002800,790
"36081069702, NY",36081069702,36081069702,437
"36081109700, NY",36081109700,36081109700,118
"36061008602, NY",36061008602,36061008602,0
"36005034800, NY",36005034800,36005034800,731
"36081062200, NY",36081062200,36081062200,144
"36047060000, NY",36047060000,36047060000,615
"36081080302, NY",36081080302,36081080302,296
"36081032900, NY",36081032900,36081032900,312
"36085027706, NY",36085027706,36085027706,324
"36005033700, NY",36005033700,36005033700,214
"36061006000, NY",36061006000,36061006000,373
"36047003800, NY",36047003800,36047003800,145
"36061000600, NY",36061000600,36061000600,2314
"36081062600, NY",36081062600,36081062600,276
"36081103201, NY",36081103201,36081103201,864
"36047114400, NY",36047114400,36047114400,254
"36061001501, NY",36061001501,36061001501,767
"36081028400, NY",36081028400,36081028400,492
"36005026400, NY",36005026400,36005026400,481
"36005029302, NY",36005029302,36005029302,415
"36081053100, NY",36081053100,36081053100,301
"36047096000, NY",36047096000,36047096000,0
"36047056300, NY",36047056300,36047056300,842
"36061015500, NY",36061015500,36061015500,718
"36081061602, NY",36081061602,36081061602,103
"36061019900, NY",36061019900,36061019900,621
"36081147100, NY",36081147100,36081147100,247
"36081005400, NY",36081005400,36081005400,262
"36047059401, NY",36047059401,36047059401,629
"36005031900, NY",36005031900,36005031900,0
"36005030000, NY",36005030000,36005030000,761
"36081048400, NY",36081048400,36081048400,390
"36047105801, NY",36047105801,36047105801,1542
"36081055200, NY",36081055200,36081055200,227
"36005026900, NY",36005026900,36005026900,502
"36005018500, NY",36005018500,36005018500,927
"36081029900, NY",36081029900,36081029900,0
"36061017100, NY",36061017100,36061017100,481
"36061018300, NY",36061018300,36061018300,699
"36061023600, NY",36061023600,36061023600,1028
"36005039500, NY",36005039500,36005039500,615
"36005038600, NY",36005038600,36005038600,902
"36061031900, NY",36061031900,36061031900,0
"36081144700, NY",36081144700,36081144700,232
"36061017500, NY",36061017500,36061017500,825
"36085003600, NY",36085003600,36085003600,197
"36081030902, NY",36081030902,36081030902,589
"36061017900, NY",36061017900,36061017900,850
"36081030904, NY",36081030904,36081030904,350
"36061018700, NY",36061018700,36061018700,574
"36047077200, NY",36047077200,36047077200,288
"36081064600, NY",36081064600,36081064600,337
"36005035600, NY",36005035600,36005035600,218
"36047085200, NY",36047085200,36047085200,0
"36061019100, NY",36061019100,36061019100,844
"36081065000, NY",36081065000,36081065000,257
"36081117100, NY",36081117100,36081117100,356
"36081022001, NY",36081022001,36081022001,604
"36061000800, NY",36061000800,36061000800,1804
"36005002000, NY",36005002000,36005002000,953
"36081006201, NY",36081006201,36081006201,890
"36061022500, NY",36061022500,36061022500,816
"36081059500, NY",36081059500,36081059500,464
"36005030701, NY",36005030701,36005030701,470
"36047007700, NY",36047007700,36047007700,396
"36081097204, NY",36081097204,36081097204,451
"36047152200, NY",36047152200,36047152200,190
"36005014400, NY",36005014400,36005014400,1030
"36061024100, NY",36061024100,36061024100,1249
"36081047900, NY",36081047900,36081047900,324
"36085031901, NY",36085031901,36085031901,598
"36081066000, NY",36081066000,36081066000,196
"36061019500, NY",36061019500,36061019500,358
"36081113900, NY",36081113900,36081113900,342
"36081034700, NY",36081034700,36081034700,317
"36081109900, NY",36081109900,36081109900,261
"36081077904, NY",36081077904,36081077904,521
"36061001502, NY",36061001502,36061001502,316
"36047005601, NY",36047005601,36047005601,262
"36085018701, NY",36085018701,36085018701,164
"36081140300, NY",36081140300,36081140300,124
"36081044000, NY",36081044000,36081044000,392
"36047035400, NY",36047035400,36047035400,852
"36081061601, NY",36081061601,36081061601,199
"36081081800, NY",36081081800,36081081800,179
"36081051200, NY",36081051200,36081051200,152
"36081071100, NY",36081071100,36081071100,500
"36081021400, NY",36081021400,36081021400,616
"36061019200, NY",36061019200,36061019200,673
"36081145900, NY",36081145900,36081145900,221
"36047094401, NY",36047094401,36047094401,256
"36081036600, NY",36081036600,36081036600,449
"36047056100, NY",36047056100,36047056100,438
"36005044400, NY",36005044400,36005044400,545
"36081032800, NY",36081032800,36081032800,401
"36081081400, NY",36081081400,36081081400,173
"36061011700, NY",36061011700,36061011700,382
"36081139900, NY",36081139900,36081139900,51
"36081050700, NY",36081050700,36081050700,224
"36081079200, NY",36081079200,36081079200,210
"36081074900, NY",36081074900,36081074900,57
