Id,Id2,Geography,total_households,%_household_income_less_10_000,%_household_income_10_000_14_999,%_income_15_000_24_999,%_household_income_25_000_34_999,%_household_income_35_000_49_999,%_household_income_50_000_74_999,%_household_income_75_000_99_999,%_household_income_100_000_149_999,%_household_income_150_000_199_999,%_household_income_200_000_plus,household_income_median,household_income_mean,education_total_population,education_total_pop_high_school,education_total_pop_ged,education_total_pop_associates,education_total_pop_bachelors,education_total_pop_masters,education_total_pop_prof_degree,education_total_pop_doctorate,race_total_population,race_total_black_alone,race_total_black_alone,race_total_am_indian_alaskan_native_alone,race_total_asian_alone,race_total_native_hawaiian_other_pacific_islander_alone,race_total_some_other_race_alone,race_total_two_or_more_races,occupancy_total_population,occupancy_total_owner_occupied,occupancy_total_renter_occupied,insurance_percent,all_below_poverty_level_percent,hisporigin_total,hisporigin_not_hisp_or_latino,hisporigin_hisp_or_latino,median_gross_rent_as_%_of_household_income
1400000US36005005300,36005005300,"Census Tract 53, Bronx County, New York",1508,36.1,16,11,12.9,11.5,9.8,0.4,1.2,0.7,0.4,13519,24696,2160,453,72,249,165,37,6,0,4167,442,2296,40,4,0,1262,123,4167,0,4167,7.2,58.9,4167,2237,1930,48.6
1400000US36005005400,36005005400,"Census Tract 54, Bronx County, New York",1800,10.9,12.6,13.3,17.6,11.1,18.4,8.3,4.9,2.3,0.7,31692,44979,4032,1003,216,194,184,41,26,0,6463,1078,1771,477,114,0,2667,356,6453,1069,5384,21.5,39.9,6463,1641,4822,46.1
1400000US36005005600,36005005600,"Census Tract 56, Bronx County, New York",883,25.4,17.4,12,6.5,10.9,10.9,12.1,4.9,0,0,21367,35436,1632,434,102,93,118,29,0,0,2608,433,714,34,25,0,1314,88,2608,573,2035,7.8,40.7,2608,967,1641,39.5
1400000US36005005902,36005005902,"Census Tract 59.02, Bronx County, New York",1033,17.2,7.2,16.6,16.4,9.6,8.6,11.8,6.4,0.9,5.4,29794,53042,1901,388,131,113,310,119,25,25,2757,524,817,0,36,0,1189,191,2757,410,2347,8.6,34.8,2757,949,1808,50.0+
1400000US36005006000,36005006000,"Census Tract 60, Bronx County, New York",361,11.6,11.4,8.3,11.6,19.4,23,2.8,8.3,0,3.6,38321,51138,823,119,53,24,149,35,0,10,1328,169,276,0,61,0,802,20,1328,74,1254,9,38.7,1328,361,967,38.9
1400000US36005006100,36005006100,"Census Tract 61, Bronx County, New York",2203,7.9,11,12.6,6.8,24.8,17.1,13.4,2.9,3.5,0,42200,48242,3228,858,96,227,714,237,95,0,3869,244,3105,0,20,0,411,89,3869,1905,1964,7.9,12.9,3869,3078,791,35.4
1400000US36005006200,36005006200,"Census Tract 62, Bronx County, New York",2431,20.2,11.5,21.1,12.5,14.5,10.6,5.6,3,1,0,24152,31722,3910,768,219,80,248,16,1,15,7268,1034,2879,58,164,0,2851,282,7263,330,6933,10,35.7,7268,2407,4861,31.5
1400000US36005006300,36005006300,"Census Tract 63, Bronx County, New York",1843,18,12.6,10.9,15.6,14,11.1,7.8,6.3,1,2.7,30524,48002,3034,725,156,213,618,122,0,20,4298,1012,1088,25,232,0,1808,133,4244,381,3863,13.4,27.2,4298,1455,2843,46.8
1400000US36005006400,36005006400,"Census Tract 64, Bronx County, New York",1287,22,10.9,6.8,12.9,18.5,17.3,7,2,2.1,0.5,31782,36985,2094,568,141,102,339,49,0,0,3309,421,1459,34,74,0,1037,284,3309,532,2777,9.9,32.9,3309,1804,1505,47.1
1400000US36005006500,36005006500,"Census Tract 65, Bronx County, New York",1900,27.1,9.9,12.2,15.3,18.9,5.3,5.2,4,1.2,0.9,25526,34283,3202,1051,160,193,261,42,0,26,5471,903,1727,0,84,0,2530,227,5375,54,5321,17.1,38.9,5471,1919,3552,33.6
1400000US36005006700,36005006700,"Census Tract 67, Bronx County, New York",2317,25,12.3,23.2,11.7,10.6,3,5.6,5.2,0,3.4,20972,59790,3964,746,128,209,266,79,0,0,7314,499,2757,0,0,53,3780,225,7309,231,7078,16,48,7314,2635,4679,33.9
1400000US36005006800,36005006800,"Census Tract 68, Bronx County, New York",1023,7.4,5.9,6.7,14.4,18.7,18.4,9.4,16.6,2.5,0,48730,58980,2237,565,208,142,291,17,15,0,3435,310,1342,62,390,0,1138,193,3435,902,2533,17.6,18.3,3435,1842,1593,33.8
1400000US36005006900,36005006900,"Census Tract 69, Bronx County, New York",2699,16.6,16.1,9.4,14.7,13.8,10.4,8,5.6,3.5,1.9,27950,46891,4805,759,191,490,543,227,114,88,8351,911,3359,30,108,0,3619,324,8238,758,7480,8.4,35.7,8351,3757,4594,31.1
1400000US36005007000,36005007000,"Census Tract 70, Bronx County, New York",1334,6.8,8.3,16.6,17.3,11.7,15.1,2.8,14.8,3.7,2.8,36016,56378,3228,875,136,160,304,68,0,8,4899,1260,1217,46,460,0,1717,199,4837,1349,3488,13.2,17.7,4899,2053,2846,45.1
1400000US36005007100,36005007100,"Census Tract 71, Bronx County, New York",982,15,7.1,6.4,17.3,13.7,16.8,10.3,6.6,5.4,1.3,38600,53163,1694,306,117,138,280,59,7,41,2702,355,1041,7,34,0,1188,77,2640,1022,1618,7.6,23.8,2702,1003,1699,34.7
1400000US36005007200,36005007200,"Census Tract 72, Bronx County, New York",1649,8.6,11.2,13.3,13.1,18.4,13.2,10.6,7.6,2.4,1.7,37271,50240,3558,850,77,305,428,214,137,0,5520,1044,1163,92,1425,0,1387,409,5520,963,4557,12.9,33.9,5520,3075,2445,46.1
1400000US36005007300,36005007300,"Census Tract 73, Bronx County, New York",1359,23.4,18.8,17.4,12.8,12.4,8.2,4,2.2,0.7,0,19935,28503,2405,480,136,182,75,57,0,0,4139,631,1449,0,0,36,1919,104,4089,53,4036,21.6,56.7,4139,1503,2636,41.9
1400000US36005007400,36005007400,"Census Tract 74, Bronx County, New York",1339,11.3,10.7,16.7,8.4,13.7,13.7,10.2,7,7.6,0.7,36567,53118,2343,482,65,138,329,120,13,0,3466,1488,1174,0,0,0,679,125,3466,1234,2232,6.7,27.6,3466,1274,2192,46.7
1400000US36005007500,36005007500,"Census Tract 75, Bronx County, New York",2276,16.9,16.8,13.4,12.2,10.6,17.1,7.8,4.5,0.7,0,26868,36556,3527,596,256,327,395,8,72,0,6039,550,2754,139,0,0,2395,201,5994,688,5306,10.4,32,6039,2396,3643,34
1400000US36005007600,36005007600,"Census Tract 76, Bronx County, New York",1562,13.1,11.5,10.8,16.4,19.2,12.2,8.1,6.3,1.9,0.6,33108,43767,3504,772,144,239,212,48,9,0,5142,1148,1038,14,554,0,2217,171,5142,1110,4032,21,36.7,5142,1772,3370,43.6
1400000US36005007700,36005007700,"Census Tract 77, Bronx County, New York",626,11.8,12.6,16,10.5,22.4,11,7.3,4.6,1.9,1.8,34516,45339,1194,302,51,58,146,59,0,0,2087,274,630,12,0,0,1104,67,2031,487,1544,8.3,33.3,2087,517,1570,47.3
1400000US36005007800,36005007800,"Census Tract 78, Bronx County, New York",2112,18.8,6.8,12.5,9.4,7.1,19,7.9,12.2,4.7,1.5,40129,54950,4305,1094,279,309,390,205,20,0,7035,1845,1554,0,422,0,3119,95,7012,1722,5290,16.1,32.2,7035,2276,4759,50.0+
1400000US36005007900,36005007900,"Census Tract 79, Bronx County, New York",2317,18.3,18.5,9.9,20.8,9.9,13.3,5.6,2.1,0,1.6,26438,34326,4080,1360,187,279,165,90,0,0,7051,640,2204,0,0,32,4083,92,6932,137,6795,10.9,45.2,7051,1856,5195,34.5
